"","Bettongia","Lagorchestes","Lagostrophus","Petrogale"
"B_F10_BC041",0.667821291156524,0.330457778184249,0.00140280439369035,0.000318126265536269
"B_E10_BC085",0.997509554694375,0.00246742846500308,2.29989811506293e-05,1.78594717407766e-08
"B_A10_BC261",0.997791633637332,0.00215657209372794,4.90059174800818e-05,2.78835145987381e-06
"B_A10_BC331",0.99999362836913,6.90994671555011e-09,6.07667439769309e-15,6.36472091754555e-06
