"","Taxa","MANOVA","df1","df2","F>Fcritical at 0.01","F.Stat","p"
"1","All Small Macropods","Shape ~ Age","6","44",TRUE,"1.638","0.159"
"2","Banded hare-wallaby","Shape ~ Size","6","3",TRUE,"6.918","0.071"
"3","Bettongia species","Shape ~ Age","6","14",TRUE,"0.815","0.576"
"4","Brush-tailed bettong","Shape ~ Size","6","7",TRUE,"0.455","0.822"
"5","Brush-tailed bettong","Shape ~ Age","6","7",TRUE,"0.601","0.724"
"6","Brush-tailed bettong","Shape ~ Sex","6","4",TRUE,"1.066","0.498"
"7","Rufous hare-wallaby","Shape ~ Sub-Species","12","20",TRUE,"1.49","0.208"
"8","Rufous hare-wallaby","Shape ~ Size","6","10",TRUE,"1.035","0.457"
"9","Rufous hare-wallaby","Shape ~ Age","6","10",TRUE,"1.999","0.159"
