"","Lagorchestes","Onychogalea","Petrogale"
"B_F10_BC046",0.00940989289646809,0.990580447313522,9.65979000983974e-06
"B_F10_BC047",0.997107789170986,0.00289211897805855,9.18509550983518e-08
"B_E10_BC059",0.999262353371674,0.000700302036111909,3.73445922142384e-05
