"","Taxa","MANOVA","df1","df2","F>Fcritical at 0.01","F.Stat","p"
"1","All Small Macropods","Shape ~ Age","6","44",TRUE,"1.638","0.159"
"2","Banded hare-wallaby","Shape ~ Size","6","3",TRUE,"6.918","0.071"
"3","Banded hare-wallaby","Shape ~ Age","6","3",TRUE,"0.864","0.6"
"4","Bettongia species","Shape ~ Age","6","14",TRUE,"0.815","0.576"
"5","Brush-tailed bettong","Shape ~ Size","6","7",TRUE,"0.455","0.822"
"6","Brush-tailed bettong","Shape ~ Age","6","7",TRUE,"0.601","0.724"
"7","Brush-tailed bettong","Shape ~ Sex","6","4",TRUE,"1.066","0.498"
"8","Burrowing bettong","Shape ~ Size","6","1",TRUE,"15.644","0.191"
"9","Rufous hare-wallaby","Shape ~ Sub-Species","6","10",TRUE,"5.58","0.009"
"10","Rufous hare-wallaby","Shape ~ Size","6","10",TRUE,"1.035","0.457"
"11","Rufous hare-wallaby","Shape ~ Age","6","10",TRUE,"1.999","0.159"
"12","Rufous hare-wallaby","Shape ~ Sex","6","5",TRUE,"1.899","0.249"
