"","Element","Size","Hit.Ratio","Cmax.25","Cpro.25","Press.Q"
"1","Astragalus","Large","0.9","0.73","0.5","177.32"
"2","Astragalus","Medium","0.93","0.54","0.46","93.24"
"3","Astragalus","Small","0.94","0.53","0.42","173.25"
