"","Lagorchestes","Onychogalea","Petrogale"
"B_F10_BC048",3.37395871074989e-06,0.999996625386908,6.54381137831977e-10
"B_E10_BC062",0.997638165055666,0.00106283577195869,0.00129899917237556
"B_A10_BC337",0.485952499209011,0.131963990603416,0.382083510187573
