"","Variable","Large","Medium","Small"
"1","H_nf","0.007","0.007","0.012"
"2","B_nf","0.017","0.022","0.023"
"3","L_mtc","0.005","0.01","0.011"
"4","L_ltc","0.011","0.014","0.017"
"5","B_atc","0.011","0.016","0.017"
"6","B_ptc","0.012","0.02","0.018"
"7","B_t","0.005","0.005","0.005"
"8","B_mTaCa","0.015","0.023","0.026"
"9","H_mTaCa","0.021","0.031","0.027"
"10","B_lTaCa","0.015","0.026","0.03"
"11","L_lTaCa","0.014","0.024","0.022"
"12","L_tn","0.028","0.042","0.045"
