"","Variable","r.large","F.large","df1.large","df2.large","p.large","r.medium","F.medium","df1.medium","df2.medium","p.medium","r.small","F.small","df1.small","df2.small","p.small"
"1","GL",0.999913176605529,34550.8992303893,60,120,1.26763045762612e-231,0.999913716421698,34767.0726210449,43,86,1.11216264456335e-166,0.99977475753715,13316.9806310791,36,72,7.31755740077585e-125
"2","Bp",0.998992147484634,2974.62599860613,60,120,9.57187047050914e-168,0.995640391749578,686.13522400999,43,86,1.87359672875006e-93,0.970187569878714,98.6291666863489,36,72,1.27112490320972e-48
"3","Dp",0.998368790788115,1837.12644567077,60,120,3.33123400995446e-155,0.995657741163334,688.884655393628,43,86,1.5787429952908e-93,0.973125852398162,109.631447607099,36,72,3.13518687115525e-50
"4","B_ms",0.995136422002295,614.829832155543,60,120,9.17543299944525e-127,0.996682346811702,902.253648507303,43,86,1.50739220822091e-98,0.983291736972101,177.551877714082,36,72,1.30351235732811e-57
"5","H_ms",0.989778108437634,291.487754364867,60,120,1.87360706176849e-107,0.994104561748203,506.868021658234,43,86,7.93759782380263e-88,0.965228434497046,84.2773923637448,36,72,3.05987961175041e-46
"6","Bd",0.998531053330587,2040.27972496755,60,120,6.21911211359682e-158,0.99881530337432,2530.29386745158,43,86,9.11993100200697e-118,0.99840028496666,1873.33400479254,36,72,3.22036340016373e-94
"7","Dd",0.998534307140114,2044.81354607483,60,120,5.444674021279e-158,0.995281624158103,633.812004071691,43,86,5.59019325621312e-92,0.979120280991352,141.680094485822,36,72,3.79712619664104e-54
