"","Lagorchestes","Onychogalea","Petrogale"
"B_G10_BC001",0.927546541683356,0.0218391956323679,0.0506142626842756
"B_G10_BC003",0.998627376334169,0.000273840278597513,0.00109878338723303
"B_G10_BC022",0.99888970554845,0.00110232351782235,7.97093372723246e-06
"B_G10_BC024",0.999968451080337,9.54472925528984e-06,2.20041904076005e-05
"B_G10_BC026",0.999898517980144,9.92634859287862e-05,2.21853392753181e-06
