"","Variable","Large","Medium","Small"
"1","GL","0.126","0.12","0.117"
"2","Bp","0.473","0.652","0.901"
"3","Dp","0.554","0.756","0.808"
"4","B_ms","0.907","0.739","0.897"
"5","H_ms","1.499","1.209","1.179"
"6","Bd","0.52","0.372","0.243"
"7","Dd","0.496","0.873","0.888"
